d_id,d_name,d_ph_N,d_email,d_dob,d_doj,d_gender,d_status,joined_with_referral,d_license_N,d_v_id
D0851,Neysa Dyal,+917366854820,neysadyal@gmail.com,1994-11-24,2021-12-25,M,W,Y,ANG 632,V1735
D0852,Priyansh Talwar,+912753905643,priyanshtalwar@gmail.com,2001-07-21,2021-05-30,M,W,N,HGW 923,V1267
D0853,Indrans Arya,02411980857,indransarya@gmail.com,1980-08-24,2021-10-04,M,W,N,78-M597,V0950
D0854,Samarth Bhardwaj,09629249031,samarthbhardwaj@gmail.com,1977-11-13,2021-07-30,F,W,Y,XJ5 6179,V0870
D0855,Diya Bir,5992967631,diyabir@yahoo.com,1970-12-14,2021-09-10,M,W,Y,87O 379,V1481
D0856,Emir Soman,+912019627877,emirsoman@yahoo.com,1972-02-14,2021-08-02,M,W,Y,8102 IQ,V1349
D0857,Eva Shanker,06917196601,evashanker@yahoo.com,1998-05-21,2021-03-17,F,W,N,230-BML,V1264
D0858,Kiara Mallick,+918252883670,kiaramallick@gmail.com,1964-10-18,2021-08-13,M,W,Y,070 AXL,V1383
D0859,Renee Basak,03882705169,reneebasak@yahoo.com,1990-11-03,2021-07-18,M,W,Y,8-B6892,V1420
D0860,Rasha Devan,00277572450,rashadevan@gmail.com,2000-10-04,2021-08-31,F,W,N,735 RO5,V1549
D0861,Tanya Ramanathan,+915731211155,tanyaramanathan@yahoo.com,2003-08-06,2021-11-21,M,W,N,498W,V1302
D0862,Lagan Rao,04710314511,laganrao@yahoo.com,1986-09-09,2021-04-06,M,W,N,TBI 0729,V1191
D0863,Indrans Khalsa,09148321094,indranskhalsa@gmail.com,1977-05-04,2021-11-20,M,L,Y,74P 3206,V1157
D0864,Kartik Chandra,03477645699,kartikchandra@yahoo.com,1976-03-15,2021-01-29,M,W,N,XAF-5352,V1045
D0865,Hrishita Contractor,07721597410,hrishitacontractor@yahoo.com,1964-01-31,2021-09-02,M,W,N,293-MMU,V1068
D0866,Nakul Raman,8687894538,nakulraman@gmail.com,2004-06-12,2021-02-15,M,W,N,LNX 054,V1164
D0867,Ritvik Dhar,07631879439,ritvikdhar@yahoo.com,1965-09-01,2021-11-03,M,W,N,861-YHC,V1622
D0868,Taimur Goel,+910506222434,taimurgoel@yahoo.com,2000-07-01,2021-02-04,F,W,N,8-5607A,V1148
D0869,Shamik Borah,4329013662,shamikborah@gmail.com,2004-04-11,2021-06-09,M,W,N,ETI6200,V1126
D0870,Anika Banerjee,03537491716,anikabanerjee@gmail.com,1979-06-10,2021-01-12,M,W,N,PF 42934,V1048
D0871,Tarini Dixit,+914701379765,tarinidixit@yahoo.com,1975-03-05,2021-09-12,M,W,N,D 361609,V1376
D0872,Zaina Srinivasan,4847734202,zainasrinivasan@yahoo.com,1973-06-21,2021-09-03,M,W,N,JV 26161,V1229
D0873,Kimaya Krishnan,+914013807324,kimayakrishnan@gmail.com,1970-06-05,2021-09-03,M,W,N,XMA-4001,V1373
D0874,Hansh Garde,9642058365,hanshgarde@gmail.com,1988-10-24,2021-09-08,F,W,N,J 947888,V1244
