pass_id,pass_name,pass_ph_no,pass_email,pass_dob,sign_up_date,pass_gender,device_os,wallet_attached,pass_occupation
P1001,Jiya Chand,+916851996316,jiyachand@gmail.com,1965-01-19,2021-09-14,M,Android,N,Student
P1002,Tushar Bajaj,+910279354123,tusharbajaj@gmail.com,1994-01-21,2021-08-23,M,Android,N,Doctor
P1003,Zaina Sodhi,+915755340444,zainasodhi@gmail.com,1967-07-31,2021-02-10,M,Android,N,Makeup Artist
P1004,Saanvi Gulati,+914525982245,saanvigulati@gmail.com,1969-04-17,2021-09-14,M,Android,N,Doctor
P1005,Neysa Iyer,03924791088,neysaiyer@gmail.com,1965-04-16,2021-11-30,M,Android,Y,Student
P1006,Ishaan Sachar,07827645806,ishaansachar@gmail.com,1995-12-20,2021-03-31,F,Android,Y,Makeup Artist
P1007,Abram Kapur,+916549052399,abramkapur@gmail.com,1981-04-20,2021-03-04,F,iOS,N,Makeup Artist
P1008,Aayush Borde,8799241024,aayushborde@gmail.com,1988-02-21,2021-08-04,F,Android,Y,Teacher
P1009,Shanaya Kumar,05717402571,shanayakumar@yahoo.com,1996-10-30,2021-03-04,M,Android,N,Student
P1010,Mehul Kara,+911102870252,mehulkara@yahoo.com,1975-03-10,2021-02-16,M,Android,N,Teacher
P1011,Adah Goswami,01322992578,adahgoswami@gmail.com,1963-06-27,2021-03-08,M,Android,N,Student
P1012,Renee Sehgal,08513484749,reneesehgal@yahoo.com,1997-10-14,2021-12-16,F,iOS,N,Teacher
P1013,Ayesha Chopra,+913178171230,ayeshachopra@yahoo.com,1975-04-01,2021-03-28,M,iOS,Y,Student
P1014,Vedika Krishnamurthy,3668205245,vedikakrishnamurthy@yahoo.com,1974-02-20,2021-12-10,M,Android,N,Teacher
P1015,Kanav Shan,0823237183,kanavshan@gmail.com,1980-03-16,2021-08-19,M,iOS,Y,Student
P1016,Vedika Sodhi,00073983786,vedikasodhi@yahoo.com,1987-12-07,2021-11-26,M,Android,N,Journalist
P1017,Faiyaz Ahluwalia,9209670683,faiyazahluwalia@yahoo.com,2004-08-30,2021-01-05,M,Android,Y,Makeup Artist
P1018,Taimur Kumer,+912760980537,taimurkumer@yahoo.com,1972-01-06,2021-03-04,M,iOS,N,Makeup Artist
